,AF3_Delta,AF3_Theta,AF3_Alpha,AF3_Beta,AF3_Gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,FC5_Delta,FC5_Theta,FC5_Alpha,FC5_Beta,FC5_Gamma,T7_Delta,T7_Theta,T7_Alpha,T7_Beta,T7_Gamma,P7_Delta,P7_Theta,P7_Alpha,P7_Beta,P7_Gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,P8_Delta,P8_Theta,P8_Alpha,P8_Beta,P8_Gamma,T8_Delta,T8_Theta,T8_Alpha,T8_Beta,T8_Gamma,FC6_Delta,FC6_Theta,FC6_Alpha,FC6_Beta,FC6_Gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,AF4_Delta,AF4_Theta,AF4_Alpha,AF4_Beta,AF4_Gamma
0,135147.3349505279,712.2275615005111,216.3270528161666,93.39264514076724,58.604480513581855,136051.96586256928,425.953203342016,207.91209720347138,92.67012652461682,64.47114158836686,122709.52270504131,504.5633541907483,275.62310608496824,131.45762707580676,70.2262668186289,132572.35063186928,560.9253569081477,317.20878849762437,137.99079780962225,82.10502843884417,147325.91981546572,563.2468882062993,322.11931799406653,158.34981969729753,80.71493075651983,156664.92736306935,442.8567547343758,203.2505522449752,121.04561332085558,65.87302586329102,146813.91322567654,199.10107243907802,111.15081676625319,87.25596322212897,38.853279306493555,130650.11652606257,234.88717680391846,192.08890997807174,118.58746455717844,43.28696033791173,133801.00326752427,461.79098162543295,256.7127692309359,141.86521326741743,68.35256055482867,135200.0816021024,481.932253364007,261.9096124866558,168.9580421545329,77.13955605672125,134398.7370075079,481.8432186662462,256.4201960151184,127.59843717646511,59.15198007549994,152995.92336682975,580.1832546373927,269.2529181578751,134.4735673011009,72.80971722319833,137091.03575372935,591.7230632369046,246.94826115508846,129.05121716350317,72.60896487301649,145309.13590609955,864.1476212281375,346.0710602003143,159.23505906856855,86.5500433614882
1,134026.57594382163,524.0357855535647,129.60268707516062,78.88547566143504,35.61427117724949,134562.5216947004,268.14491298139257,124.10889345044305,67.27782298825585,29.84071032064416,119685.50721975228,214.83483643100828,91.73895823331719,70.35185886833294,32.153096042417275,129352.38323018217,188.5274939477158,130.36710825908347,60.334666889000545,33.508689234584786,144003.74324845304,112.2528092690094,97.24955120339563,71.19671534702798,30.10307597101615,153933.9528915699,88.48112886569459,66.18159532712474,52.28461601302983,26.868218856796428,145958.0249508776,114.6148155119537,74.95297434349683,50.94770743294913,28.108836326736693,128398.88189786031,222.34003063929805,238.0817840649094,76.27179008608671,33.98975134746566,131167.04984246235,118.023739146957,123.47926955398788,64.8846990692307,28.168870276076657,132307.85640904665,180.19306983082427,97.9706797306798,70.90554131459334,25.998114682578944,132606.12525483736,181.48787307837387,99.38917906763074,76.25394504029757,26.22601768734972,150680.3244573166,236.9859632124407,92.85352339992659,58.782549371099336,30.177587229631186,134706.42279241118,316.5560930178473,147.06226357807742,82.98704245486624,33.48339860573086,144550.98699041453,484.30275026437124,132.6769399930394,57.21142876830514,24.669527587077564
2,132789.66857748354,648.9640223316885,173.64405332116252,111.23204740928989,59.59265871159888,133207.94928996835,378.9184005685706,108.75880650977032,87.727455684242,46.40174294575125,118470.38792449892,213.0610196217849,106.6120272684087,73.71640230811867,40.16233423500949,126601.28574576411,227.53225926916502,41.33201045550568,44.53205332298424,28.45773640275996,141294.7158877826,286.81981951564865,134.76408651042775,89.84091498844583,48.69314532104781,152428.14634631228,96.1649927681512,61.19502669900385,41.994349838028626,15.67836289953786,145846.47127239694,88.63009301874507,104.56154019236733,50.111901658094055,20.870562127298676,127070.73478006946,71.71368812063201,228.78007310571422,67.52124146764751,30.482590001769893,129586.25921011825,160.79774342343637,182.92829905534433,73.49140997933097,37.95137909020877,130719.24230251917,196.3749651649655,162.25454109636627,72.92073569420626,41.43119668247225,130844.28746087672,252.48162432284306,182.4523406054572,73.83242578539848,49.19011404767007,149430.21358921804,246.28551656332456,164.53736224915116,74.52309203132836,43.55472766204222,133399.33121146372,318.5085206048893,166.6762216360258,63.39960624730975,36.83737527030674,143613.90816827316,543.0386878900248,182.81634585172446,72.59742805257197,45.5407575542304
3,132436.76052749006,377.655826731649,139.84114095401856,106.78804774172934,38.40490489257853,131849.54567062476,143.67123730665824,95.83296412425418,74.44389102096292,29.181584821710736,117740.4364961784,188.9040120180673,107.43791327112235,63.067380202421226,27.102648775454142,128639.59662892639,299.1186285075378,120.17918559430129,100.47891469826764,47.5205536037258,140361.95606009255,164.07978955842026,124.76011766783814,71.8231916689924,24.121132753399547,152002.49823031758,59.037714495128476,77.794252410769,38.782072056745854,18.03278869778937,145924.57057128122,174.8002876930871,103.93756897582,61.25320680318757,29.66076858760367,125815.92889502746,118.46495307464482,100.09046197593483,64.97045204904349,24.652427820740122,128756.40467353453,94.47469367592115,88.87072634604371,71.32577218390128,24.80871058618217,130254.92870710195,71.3685824663659,73.20592049074259,86.83580042300187,39.962358126955934,130259.01271385755,143.33556759022045,70.06629842676564,76.04772707290925,29.841718016782238,148637.64275286708,165.5112171143919,99.27636703337748,66.0124228351968,26.153105972658604,133094.7658192894,203.88205980514405,117.99169240064202,79.7968764442848,33.29770238469324,143713.71896338364,205.29558124151362,208.83311574503549,75.2233568711901,26.187060840491768
4,132873.58770861404,842.7654431698616,258.82890034146305,130.84196886919625,58.95781240638041,133156.29211715044,463.59510528726963,163.593815219794,100.45866166567225,36.94480016634131,119161.47641989272,394.50260219888685,177.78593256532014,96.60698630082669,39.028346539789304,144819.72792920962,3477.0860144161825,1208.7478522891047,462.3502857765578,214.5489109331092,142814.78427049468,247.7514686033193,132.9366407458406,83.52764093451151,56.32465822736514,153627.86510338043,121.30827539547275,101.25869626269096,63.47375355507823,35.87338785274548,146285.99610082086,93.86859417875361,128.83703603792787,66.86476437235278,32.93285370530858,127499.00601343346,106.50469562638193,211.3528802664041,86.26449710988933,33.6105931626728,130410.39153349929,147.66221412235916,259.9933126147915,99.47706166203037,37.007383859241436,131961.00791739236,169.3392272525332,250.04378009183938,97.63362686612497,36.27331756532325,131289.6098433731,319.6197638444078,230.13096374763424,104.58381452366949,42.3205222917588,149835.39862121549,394.57878539873525,261.19994819468496,117.93366938035085,49.11433601860006,133514.67268454886,498.36239706712234,275.6624707576584,118.60639019912557,49.64934084301218,143167.30167871658,745.9384172326079,288.57967610941165,144.0661996910882,60.37769062812597
5,133941.1358700398,573.5291346323671,252.49658753064313,75.66202537501337,40.57494712180478,133297.84916559886,376.8232655085856,207.124870238337,71.54932102416619,27.94255765646705,119068.16268923356,250.75829053019464,146.29062851334558,68.12815329946321,29.470570157653295,135330.62194941647,1231.8112689015566,725.9670159209213,360.00263670793896,186.377009561529,142912.492575173,111.43975136727423,104.07982544426515,45.552373424187266,36.28707068162703,153758.28329536307,82.24369900023399,93.76425801723067,40.078519848702065,26.56603111278974,145981.4795578379,129.547868809409,126.52000754881544,46.71016169697082,22.431224082088235,127382.73141560149,146.96160310796714,154.55342414198503,81.47172422759871,23.00999727228519,130443.1974387277,143.04601531057048,107.87183884952859,70.87228713171689,19.430208525198562,131990.8907914153,173.28817844005667,124.87450947603273,79.03471569427863,22.31904385016214,131499.85271885153,275.9836676041531,161.93840028485326,72.09323221231257,26.60388235920051,150208.74685422945,312.48612435195497,209.329591339393,68.34774460750519,29.74841306845718,133435.64062655333,449.10528041928444,228.6275637923389,84.33960005780239,40.98525329823896,143973.8302923533,538.6094202029102,201.42932613201634,58.78471336648124,23.07815136989264
6,131383.4494919404,1019.6895297093668,259.14850090306004,144.88880124953403,56.4153015708275,131287.41164983556,524.9449607010997,184.9977318406238,129.28815135912242,45.28890325833773,117535.98924809365,411.54485875171366,230.28100694348916,111.07155623798884,45.32995460576068,128889.0046763825,615.738492957901,237.45563929590128,166.20211184891042,74.51923527404504,141413.88510831157,454.1572583571819,337.542450976585,169.4666493126948,84.86445934514286,152581.20707489652,289.4698955570727,225.59833756814402,107.14872899611433,54.62184907044266,144998.863320709,212.60908159179854,203.58402497731893,96.59195216278505,36.80480256264204,126026.65612005765,391.2964413509784,182.82739633048664,135.8742335260744,56.326446696667624,129384.40610856876,382.2509394447863,228.6072691151571,155.7504517739934,67.91699311669392,131180.5010622836,391.2078966679374,253.05429722748067,162.88436193092087,73.73347284472702,130037.31630470333,393.9790857410067,266.4088497769449,143.3706641698205,65.58532834246527,148045.56829685182,441.82404934639715,290.58953731627264,149.6856317410331,66.51800393866007,130784.71720303319,505.813069076978,349.27909655008045,171.97320437316912,74.31466934251878,142023.98105557772,749.6235270433295,381.3080042870454,180.6757616591657,86.85648171945705
7,130604.4857338555,924.284062382238,209.88985871421323,190.6946994753306,99.67762059748814,130991.93081749108,432.58389246125824,163.7624786085121,99.9193963575949,51.63376643750921,117155.8741600661,411.73970716567,119.57592542383594,108.08117192274507,62.76641077712987,126948.08012022488,201.78414417416332,114.55300144156652,60.10482153120813,21.81125424914786,139550.67224169022,217.6569389752899,190.66153270622837,93.84355828543468,56.82776989313808,151659.87835580946,154.62104099404365,156.4119999121586,69.91261630554088,33.29438187040963,145211.5789126643,204.04909683565046,183.21154954162728,83.09633578196144,38.55619600217049,124835.71298867842,168.78247139186453,214.61396864987702,80.28660077002829,35.00125848556379,127982.0169354531,251.8272520175446,224.58193020115726,95.71965724574709,41.74768222766852,129661.10563173702,251.3361932826909,221.07236442968681,98.21945716364739,36.43861131893638,128922.0370124051,434.01031809719234,196.02946688517454,104.4402846006882,55.114397269038164,147161.77200399904,474.96112555149443,182.51576115066112,105.63072497424479,66.03061391059809,129644.89017144886,587.7487441343108,201.44088494597617,122.19117741915021,62.77068726927151,141031.56855814563,883.4850435236883,284.37761252603127,163.69800635319314,93.09805043071553
8,133170.32476727423,471.4988573543916,203.36551358552583,90.29151370303397,38.38681463546682,133062.88602053394,224.12020703860296,104.60719870623109,70.00778823398382,21.668335693306354,119013.04524321806,243.57870445347803,147.86641886779523,64.47727397621432,19.49554887300668,127916.96685988155,142.76744476126174,54.3150592176401,66.38710665654274,22.17430852631175,142655.01031255073,329.2925393369786,155.92169386206305,103.17447874980996,55.36553792361913,153650.2390019982,186.21565275700507,86.56362866755804,79.3745831824934,35.306546697774216,146273.98116581034,77.0081570667305,51.958301687766514,71.54253906054254,22.819290110961852,126545.9701305976,193.60079740509036,152.57363591169846,99.7819264966145,40.660477259864486,129843.44753641706,243.02585357484975,102.82636531804918,116.11634428247645,38.784736585070924,131540.5451058232,257.4809908647266,127.34146256649635,112.16693854963823,40.629652185207505,130846.48238294554,198.12960323341912,102.71057851044958,82.59784429840201,26.381070396426644,149010.78914163122,201.38919881171773,130.46084184915767,73.03932630541551,28.222497222790825,132125.42893780733,231.50529949753047,92.70711209772549,90.21988800540719,32.121179574932405,142937.73377413154,321.6924035183105,163.82569441213354,70.08931976094999,26.327012293633747
9,131875.31506434648,495.3445962481373,167.2962944685091,103.65123177681613,27.920338139466796,132150.32132926214,283.54178926945724,137.12333900791623,103.41580250602722,37.238487380608625,118321.1921041527,205.84789640879035,206.02636579818937,76.71406808568325,33.23391091680097,127065.8197004475,161.00707165670534,75.59704514829048,62.23177331966852,18.80205141603961,141821.3027429103,192.54983713264443,140.1574190962956,101.99502267682664,51.651460622860135,152824.12779542065,169.3889477161532,121.53500822240939,74.87581524016188,33.76014964189876,145307.20541033035,131.2073879528944,136.0519426525233,59.72835028131116,27.72895761681159,125658.87903351618,204.51547918771982,263.973482488203,135.33901611281829,36.9742022075899,129055.42875291537,203.53084144144438,247.28580367765613,133.41721739072696,32.17699610634242,130783.29990840162,244.61034698704503,243.9932361413854,137.8782569091673,32.05159553864713,130328.00035741457,246.7013835162853,244.2975912284933,110.44494612368364,40.11803332071702,148408.2054747378,220.41559740372944,214.7183148704541,95.10772352676442,34.88716797216715,131660.80855157282,304.234243149318,192.86069517650418,108.36601764936376,24.771254149123784,142642.96325612062,288.5826734902718,243.47812008714482,93.80719326232348,21.866016469723096
