condition,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1,-7024555.41420094,-42598361.54189142,-176845.3493292013,-12146423.56177758,-4765452.011875564,-267499.81686985545,-2461483.7597926334,10382909.677770449,1125688.0240977022,23151558.963213664,20297391.43494534,-28050734.33906751,30276468.77994194,12257338.91483562
1,-6036126.712280674,-41456254.86378542,-722552.2826203257,-10194039.141153527,-2115716.790321073,463992.3188526819,-1523537.7089206313,9638866.601178758,-499267.6220552554,21080157.334604338,20789951.300024938,-30825980.361678995,26472075.573291067,14928432.354864126
1,-6544998.449864575,-39786584.48094795,-2228594.8073791536,-11071729.030149309,-1312399.0004664455,1546106.5359854319,1412056.9729428848,9818553.864442602,-1276805.4322812615,19766039.116839018,20342325.85911415,-32094982.763857517,24324715.313327402,17106296.302294727
1,-8244175.37594411,-38342009.79432376,-4017143.674902601,-14217219.67183906,-2034949.3921597856,2806155.5692149247,6036465.393612209,11207912.962262772,-1073695.0522682427,19559152.028800376,18889761.762594163,-32085419.94901163,23705276.120376915,17809889.073587824
1,-10180700.391785165,-37625440.269476,-5260711.807120374,-18044242.621840917,-3290137.5229620067,3871304.5003726534,11251407.440924574,13350363.675860476,-262804.4057977408,20207631.730355673,16801984.531295612,-31816173.186922245,24043324.82140072,16954193.505694725
1,-11255944.652538817,-37651169.100436345,-5349786.924413665,-20722824.83143476,-3993221.9005655483,4415081.978363925,15588519.766416244,15281466.497145643,462882.7900994534,21019767.681992203,14779141.019417666,-32521108.8568675,24720330.60651759,15226865.926303912
1,-10788083.995503886,-37962771.50000478,-4159458.4420887902,-21064975.095256098,-3593521.4632575614,4376315.821761759,17821562.200145245,16048733.926826572,472667.87061516376,21230497.191977866,13567821.90453249,-34948621.19210752,25368737.623956487,13631095.148403062
1,-8848538.574163767,-37905110.44214625,-2089562.9414032553,-19065197.894046273,-2377658.596561172,4019014.133868671,17482371.975976888,15232107.310162418,-433455.715692846,20380218.52444413,13627805.831588918,-38912069.30995109,25943446.531581193,12946629.166342432
1,-6212738.764301781,-37003100.77192279,134964.89462585887,-15822719.022718767,-1267076.5255379197,3802514.307060703,15035324.308501985,13187227.053203411,-1880093.4409504044,18521850.3127724,14909250.434622986,-43334045.82206616,26573639.570236046,13355003.466474432
1,-3971513.6353088934,-35237506.23325136,1797636.3650605693,-12899503.158886362,-1225454.498803774,4142185.9076300114,11635692.368609583,10889616.652351467,-3084920.4734032704,16171342.74792842,16851307.43563611,-46763887.14121702,27326019.22582096,14368984.43783357
1,-3018922.9735342553,-33065188.988144953,2488699.974071811,-11469831.928693458,-2627549.1042369124,5196358.403549812,8602981.522718247,9471269.372809963,-3257468.604332905,14049261.859888751,18611268.376059193,-48095663.15708349,28050262.513301037,15064522.733627154
