Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,4584.62,3902.05,4571.79,4589.23,4124.62,3825.13,4152.82,4579.49,4690.77,4260,4027.18,4385.13,4480.51,4230.77
,4584.1,3895.9,4574.87,4567.69,4124.1,3827.18,4157.95,4585.13,4695.38,4268.21,4034.36,4380,4501.54,4197.44
,4574.36,3893.85,4576.92,4572.82,4123.59,3829.23,4165.13,4590.26,4702.56,4281.54,4030.77,4366.67,4521.03,4176.41
,4573.85,3906.15,4572.82,4612.31,4137.95,3830.77,4167.18,4596.92,4706.15,4285.64,4038.46,4376.41,4518.97,4207.18
,4583.59,3911.28,4570.26,4621.03,4150.77,3833.85,4166.15,4597.44,4705.13,4282.05,4051.79,4387.18,4520.51,4220
,4579.49,3908.21,4567.18,4594.36,4148.21,3834.87,4166.15,4589.23,4701.54,4280,4043.08,4376.41,4529.23,4189.23
,4578.97,3910.26,4571.28,4580.51,4148.72,3832.82,4171.79,4586.67,4700.51,4281.54,4041.54,4382.56,4523.08,4197.95
,4593.85,3920,4581.54,4594.36,4154.87,3833.85,4181.54,4591.79,4702.05,4278.97,4054.87,4397.95,4515.9,4230.77
,4603.59,3925.13,4588.21,4608.21,4154.87,3842.56,4189.23,4597.44,4703.08,4280.51,4063.59,4399.49,4528.21,4227.18
,4607.18,3925.64,4587.18,4608.21,4157.44,3848.21,4190.26,4600.51,4703.59,4290.77,4066.67,4404.62,4542.56,4220
,4610.26,3934.87,4587.69,4604.1,4163.08,3848.72,4187.69,4602.05,4704.62,4291.28,4060,4414.36,4535.38,4230.26
,4603.59,3947.69,4584.1,4596.92,4160,3850.26,4191.79,4601.54,4702.05,4279.49,4052.31,4410.26,4521.03,4227.18
,4602.05,3951.79,4578.97,4593.33,4160,3850.77,4200.51,4602.05,4701.03,4281.03,4058.97,4400.51,4522.05,4222.05
,4612.31,3962.05,4581.03,4607.18,4169.74,3847.69,4197.95,4604.62,4704.62,4291.28,4068.21,4403.08,4527.18,4238.97
,4611.79,3974.36,4577.95,4610.77,4167.69,3844.62,4186.15,4603.08,4704.1,4286.67,4066.67,4403.59,4523.59,4241.54
,4602.56,3973.85,4568.21,4589.74,4157.44,3844.1,4182.05,4592.31,4693.85,4274.87,4058.97,4395.9,4513.85,4219.49
,4607.18,3976.92,4564.1,4591.28,4160,3843.59,4184.1,4583.08,4687.18,4276.41,4056.41,4394.87,4505.64,4211.79
,4617.44,3986.67,4571.28,4603.59,4170.77,3848.21,4186.67,4591.79,4695.9,4286.67,4063.59,4404.1,4504.62,4224.1
,4621.54,3993.33,4577.44,4596.41,4175.9,3852.31,4190.77,4601.03,4704.62,4288.21,4070.26,4411.79,4512.31,4243.08
,4628.21,4002.56,4578.46,4589.74,4176.92,3849.74,4188.21,4592.82,4702.56,4281.03,4061.54,4411.79,4523.08,4248.72
